"","age_grp","region","future_decision_role","num_hh_vehicles","household_members_1","household_members_2","household_members_3","household_members_4","modes_used_1","modes_used_2","modes_used_3","modes_used_4","modes_used_5","modes_used_6","modes_used_7","modes_used_8","modes_used_9","modes_used_10","modes_used_11","modes_used_12","autonomous_aware","autonomous_att_1","autonomous_att_2","autonomous_att_3","autonomous_att_4","autonomous_att_5","autonomous_att_7","autonomous_att_8","autonomous_hhveh","autonomous_rideshare","autonomous_pooled","autonomous_pref","housing","income","gender","employment","student","education","license","drive_freq","transit_freq","tnc_freq","job_type","work_mode","work_distance","work_days","school_mode","school_distance","ethnicity","race_1","race_2","race_3","race_4","race_5","race_6","race_7"
"71","2",5,3,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",2,3,2,3,2,2,3,1,1,2,2,1,"3","1",5,4,"3","0",1,0,0,3,"6",0,0,"6",0,"1",0,1,0,0,0,0,0
"72","2",5,1,2,0,1,1,2,"0","0","1","0","0","1","0","0","0","0","0","0","3",1,3,1,3,1,1,1,1,1,1,3,1,"2","0",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"74","2",4,1,1,0,0,0,1,"0","1","0","0","0","0","0","0","0","0","0","0","2",4,3,3,2,3,3,4,2,2,3,2,5,"2","0",1,4,"3","0",3,0,0,1,"1",10,5,"6",0,"0",1,0,0,0,0,0,0
"75","1",2,1,1,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",2,2,2,2,2,2,3,1,1,2,2,1,"2","0",1,4,"3","0",1,0,0,1,"1",10,5,"6",0,"1",0,0,0,0,1,0,0
"76","1",3,1,3,1,0,0,1,"0","0","0","0","1","1","1","0","0","1","0","0","2",3,2,3,2,4,3,4,2,3,3,2,6,"1","1",1,4,"3","0",1,0,1,1,"1",5,5,"6",0,"1",1,0,0,0,0,0,0
"77","3",2,1,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","2",3,2,3,1,1,1,2,2,1,3,4,5,"2","0",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"78","3",2,1,2,0,0,0,2,"0","0","0","0","0","1","0","0","0","0","0","0","1",3,4,3,4,1,1,3,1,1,1,3,3,"2","1",4,4,"2","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"79","2",5,1,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","2",3,2,4,2,2,2,3,2,2,2,2,1,"3","1",4,4,"4","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"80","3",5,3,2,0,0,0,2,"0","0","0","0","1","0","0","0","0","0","0","0","1",2,3,2,3,2,1,2,1,1,1,2,1,"4","1",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"81","2",1,3,1,0,0,0,3,"0","0","1","1","0","1","0","0","0","0","0","0","2",3,2,2,2,4,3,3,2,3,2,2,1,"3","1",4,4,"4","0",2,0,0,5,"6",0,0,"6",0,"1",0,1,0,0,0,0,0
"82","3",6,1,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","2",4,3,4,1,1,1,4,2,2,2,4,6,"2","1",4,4,"4","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,1,0,0,0,0
"83","2",2,1,2,1,0,0,3,"0","0","0","0","0","0","0","0","0","0","0","0","1",4,4,3,2,4,3,3,1,1,4,2,6,"2","1",1,4,"2","0",1,1,1,1,"1",5,6,"6",0,"0",0,0,0,0,1,0,0
"84","1",2,2,1,0,0,0,2,"0","0","0","0","0","0","1","0","0","0","0","0","2",4,3,4,3,2,1,4,2,2,3,4,1,"3","0",2,3,"3","0",1,0,0,1,"1",7,5,"6",0,"0",0,0,0,0,1,1,0
"85","3",4,2,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","2",3,3,2,4,2,1,3,2,3,1,3,1,"3","0",4,4,"4","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"86","2",3,1,1,0,0,0,1,"0","1","1","1","1","1","1","0","0","0","0","0","3",4,1,4,1,1,4,4,3,3,1,4,1,"1","1",2,4,"4","0",2,0,0,1,"1",20,4,"6",0,"1",1,0,0,0,0,0,0
"87","2",5,1,1,0,0,0,1,"0","1","1","0","0","0","0","0","0","0","0","0","1",1,3,1,4,1,1,1,1,1,4,2,5,"3","1",1,4,"4","0",2,3,0,1,"3",2,5,"6",0,"1",0,0,0,0,1,0,0
"88","3",5,1,1,0,0,0,1,"0","0","0","0","0","0","1","0","0","0","0","0","2",2,3,3,3,1,1,3,2,3,3,2,1,"2","0",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"89","3",2,1,2,0,0,0,2,"0","1","0","0","1","1","0","0","0","1","0","1","3",1,3,4,3,1,2,2,1,1,1,2,2,"3","0",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"90","1",2,1,1,0,0,0,2,"0","0","0","0","0","0","1","0","0","0","0","0","1",3,3,3,2,2,2,2,2,2,3,3,1,"3","0",1,4,"3","0",1,0,0,1,"1",15,5,"6",0,"0",0,0,0,0,1,0,0
"91","2",2,1,3,0,0,0,4,"0","0","0","0","0","0","0","0","0","0","0","0","1",1,1,1,1,1,1,1,1,1,4,2,1,"2","1",1,4,"3","0",1,0,0,2,"1",30,5,"6",0,"1",0,0,1,0,0,0,0
"92","3",2,1,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","2",2,3,3,2,2,2,3,1,2,1,3,6,"3","0",5,4,"4","0",1,0,0,2,"1",12,5,"6",0,"1",0,0,0,0,1,0,0
"93","2",1,3,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",2,4,1,3,1,1,2,1,1,2,2,1,"4","1",4,4,"4","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"94","3",1,3,2,0,0,0,2,"0","0","0","0","0","1","0","0","0","0","0","0","1",1,4,1,4,1,1,1,1,1,1,1,1,"1","1",4,4,"2","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"95","1",5,1,1,0,0,0,4,"1","1","1","1","1","1","1","1","1","1","1","1","2",1,1,1,1,1,1,1,2,2,4,3,1,"3","0",1,4,"3","0",1,2,0,2,"2",10,5,"6",0,"1",0,1,0,0,0,0,0
"96","3",2,1,1,0,0,0,2,"0","1","0","0","0","0","1","0","0","0","0","0","1",1,3,3,4,1,1,1,1,1,2,2,1,"2","1",4,4,"2","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"97","3",5,2,2,0,0,0,2,"0","0","1","0","0","1","0","0","0","1","0","0","2",1,2,1,2,1,1,1,1,1,1,3,1,"2","0",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"98","3",2,1,1,0,0,0,1,"0","0","0","1","0","1","1","0","0","0","0","0","1",1,4,1,4,1,1,1,1,1,1,2,1,"2","1",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"99","2",2,1,1,0,0,0,1,"1","1","1","1","1","1","1","1","1","0","0","1","1",4,2,3,3,4,1,4,2,2,1,2,2,"2","1",1,4,"3","0",2,4,2,1,"1",39,6,"6",0,"1",0,0,0,1,0,0,0
"101","2",1,3,2,0,0,0,2,"0","0","0","0","0","0","0","0","0","0","0","0","2",3,3,1,2,1,1,1,1,1,1,2,6,"2","1",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"0",0,0,0,0,1,0,0
"102","1",2,2,1,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0","2",2,4,3,3,3,1,3,2,2,3,2,1,"2","1",1,4,"3","0",1,0,0,2,"1",12,5,"6",0,"1",0,1,0,0,0,0,0
"103","2",1,3,1,0,0,0,3,"0","1","0","0","0","0","1","0","0","0","0","0","2",3,3,3,3,3,2,3,1,1,2,2,3,"2","1",2,3,"3","0",1,0,0,1,"1",8,4,"6",0,"1",0,0,0,0,1,0,0
"104","2",1,1,1,1,1,1,2,"0","0","0","0","0","0","0","0","0","0","0","0","1",3,4,2,3,2,1,3,1,1,2,2,1,"2","1",1,4,"3","0",1,0,0,1,"2",3,5,"6",0,"1",0,0,0,0,1,0,0
"105","3",2,2,5,0,0,0,2,"0","0","0","0","0","1","0","0","0","0","0","0","2",3,3,2,2,2,2,2,2,2,1,3,1,"3","1",4,4,"3","0",2,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"106","1",3,2,2,0,0,0,3,"0","0","0","1","0","0","0","0","0","0","0","0","3",4,4,2,2,1,3,4,2,2,3,3,1,"4","1",2,4,"3","0",1,0,0,3,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"107","2",2,2,2,0,0,1,3,"0","0","0","0","0","0","0","0","0","0","0","0","2",3,3,2,3,2,2,2,2,1,2,4,2,"3","0",4,4,"3","0",1,0,0,5,"6",0,0,"6",0,"1",0,1,0,0,0,0,0
"108","2",2,3,2,1,1,0,2,"0","0","0","0","0","0","1","0","0","0","0","0","2",3,3,2,2,3,1,1,2,2,1,4,1,"4","1",4,4,"4","0",1,0,0,5,"6",0,0,"6",0,"1",0,0,0,0,1,0,0
"109","2",5,2,4,0,0,0,3,"0","0","1","0","0","0","1","1","0","0","0","0","2",3,3,2,3,2,1,3,2,2,4,3,1,"3","0",2,4,"3","0",1,0,1,4,"6",0,0,"6",0,"1",0,1,0,0,0,0,0
